chrBase	chr	base	strand	coverage	freqC	freqT
chr21.9826907	chr21	9826907	F	96	18.75	81.25
chr21.9853326	chr21	9853326	F	16	87.50	12.50
chr21.9853296	chr21	9853296	F	18	88.89	11.11
chr21.9860126	chr21	9860126	F	83	100.00	0.00
chr21.9906663	chr21	9906663	R	14	92.86	7.14
chr21.9906677	chr21	9906677	R	14	78.57	21.43
chr21.9906700	chr21	9906700	F	30	26.67	73.33
chr21.9906954	chr21	9906954	F	30	86.67	13.33
chr21.9906644	chr21	9906644	F	23	95.65	4.35
chr21.9906873	chr21	9906873	F	15	26.67	73.33
chr21.9906634	chr21	9906634	F	23	69.57	30.43
chr21.9906704	chr21	9906704	F	18	94.44	5.56
chr21.9906655	chr21	9906655	R	14	92.86	7.14
chr21.9906645	chr21	9906645	R	13	100.00	0.00
chr21.9906926	chr21	9906926	R	17	64.71	35.29
chr21.9906619	chr21	9906619	F	22	81.82	18.18
chr21.9906949	chr21	9906949	F	30	53.33	46.67
chr21.9906910	chr21	9906910	R	16	56.25	43.75
chr21.9906907	chr21	9906907	R	17	11.76	88.24
chr21.9906681	chr21	9906681	F	37	37.84	62.16
chr21.9906955	chr21	9906955	R	13	69.23	30.77
chr21.9906724	chr21	9906724	F	18	72.22	27.78
chr21.9906822	chr21	9906822	R	14	100.00	0.00
chr21.9906808	chr21	9906808	R	13	100.00	0.00
chr21.9906847	chr21	9906847	R	14	71.43	28.57
chr21.9906660	chr21	9906660	R	14	64.29	35.71
chr21.9906839	chr21	9906839	R	13	69.23	30.77
chr21.9906846	chr21	9906846	F	15	93.33	6.67
chr21.9906928	chr21	9906928	R	17	64.71	35.29
chr21.9906657	chr21	9906657	R	14	0.00	100.00
chr21.9906641	chr21	9906641	R	14	0.00	100.00
chr21.9906676	chr21	9906676	F	39	100.00	0.00
chr21.9906934	chr21	9906934	R	17	100.00	0.00
chr21.9906890	chr21	9906890	R	17	0.00	100.00
chr21.9906884	chr21	9906884	F	13	15.38	84.62
chr21.9906841	chr21	9906841	R	14	71.43	28.57
chr21.9906864	chr21	9906864	F	14	71.43	28.57
chr21.9906714	chr21	9906714	F	25	76.00	24.00
chr21.9906824	chr21	9906824	R	14	100.00	0.00
chr21.9906635	chr21	9906635	R	13	53.85	46.15
chr21.9906952	chr21	9906952	F	30	83.33	16.67
chr21.9906640	chr21	9906640	F	23	0.00	100.00
chr21.9906957	chr21	9906957	F	30	86.67	13.33
chr21.9906604	chr21	9906604	F	23	78.26	21.74
chr21.9906992	chr21	9906992	R	13	92.31	7.69
chr21.9906950	chr21	9906950	R	13	61.54	38.46
chr21.9906902	chr21	9906902	R	17	0.00	100.00
chr21.9906805	chr21	9906805	R	13	61.54	38.46
chr21.9906889	chr21	9906889	F	12	0.00	100.00
chr21.9906933	chr21	9906933	F	29	89.66	10.34
chr21.9906694	chr21	9906694	F	39	41.03	58.97
chr21.9906885	chr21	9906885	R	16	0.00	100.00
chr21.9906869	chr21	9906869	F	15	0.00	100.00
chr21.9906958	chr21	9906958	R	13	100.00	0.00
chr21.9906616	chr21	9906616	F	23	60.87	39.13
chr21.9906931	chr21	9906931	R	17	35.29	64.71
chr21.9906827	chr21	9906827	R	14	35.71	64.29
chr21.9906953	chr21	9906953	R	13	84.62	15.38
chr21.9911447	chr21	9911447	R	10	100.00	0.00
chr21.9911433	chr21	9911433	R	10	90.00	10.00
chr21.9911345	chr21	9911345	F	10	90.00	10.00
chr21.9913543	chr21	9913543	F	34	91.18	8.82
chr21.9913575	chr21	9913575	F	33	93.94	6.06
chr21.9917414	chr21	9917414	R	11	100.00	0.00
chr21.9917398	chr21	9917398	R	11	90.91	9.09
chr21.9917607	chr21	9917607	F	49	77.55	22.45
chr21.9917608	chr21	9917608	R	12	75.00	25.00
chr21.9917582	chr21	9917582	F	61	85.25	14.75
chr21.9917587	chr21	9917587	F	59	77.97	22.03
chr21.9917630	chr21	9917630	R	14	85.71	14.29
chr21.9917629	chr21	9917629	F	28	0.00	100.00
chr21.9927676	chr21	9927676	R	18	100.00	0.00
chr21.9927687	chr21	9927687	R	18	100.00	0.00
chr21.9927527	chr21	9927527	F	32	100.00	0.00
chr21.9944663	chr21	9944663	R	45	77.78	22.22
chr21.9944505	chr21	9944505	F	86	91.86	8.14
chr21.9959569	chr21	9959569	R	40	100.00	0.00
chr21.9959577	chr21	9959577	R	40	100.00	0.00
chr21.9959644	chr21	9959644	R	59	88.14	11.86
chr21.9959541	chr21	9959541	R	39	94.87	5.13
chr21.9959407	chr21	9959407	F	52	94.23	5.77
chr21.9959650	chr21	9959650	R	59	86.44	13.56
chr21.9967634	chr21	9967634	R	93	66.67	33.33
chr21.9990967	chr21	9990967	F	16	81.25	18.75
chr21.10011861	chr21	10011861	F	39	33.33	66.67
chr21.10012079	chr21	10012079	F	77	64.94	35.06
chr21.10011938	chr21	10011938	R	74	86.49	13.51
chr21.10011841	chr21	10011841	F	40	45.00	55.00
chr21.10011876	chr21	10011876	F	38	63.16	36.84
chr21.10012095	chr21	10012095	F	77	92.21	7.79
chr21.10011925	chr21	10011925	R	68	30.88	69.12
chr21.10011990	chr21	10011990	F	24	58.33	41.67
chr21.10011858	chr21	10011858	F	39	79.49	20.51
chr21.10011974	chr21	10011974	R	77	53.25	46.75
chr21.10012089	chr21	10012089	F	76	81.58	18.42
chr21.10011954	chr21	10011954	R	49	67.35	32.65
chr21.10011872	chr21	10011872	F	39	87.18	12.82
chr21.10012101	chr21	10012101	F	73	57.53	42.47
chr21.10011987	chr21	10011987	F	25	84.00	16.00
chr21.10011855	chr21	10011855	F	39	74.36	25.64
chr21.10011964	chr21	10011964	R	76	31.58	68.42
chr21.10012069	chr21	10012069	F	78	74.36	25.64
chr21.10011878	chr21	10011878	F	37	54.05	45.95
chr21.10012075	chr21	10012075	F	78	80.77	19.23
chr21.10012030	chr21	10012030	F	23	56.52	43.48
chr21.10012008	chr21	10012008	F	25	36.00	64.00
chr21.10011833	chr21	10011833	F	40	85.00	15.00
chr21.10012640	chr21	10012640	F	39	48.72	51.28
