chrBase	chr	base	strand	coverage	freqC	freqT
chr21.9737358	chr21	9737358	F	13	30.77	69.23
chr21.9736774	chr21	9736774	R	10	10.00	90.00
chr21.9746025	chr21	9746025	R	11	72.73	27.27
chr21.9764151	chr21	9764151	R	11	9.09	90.91
chr21.9796637	chr21	9796637	F	12	25.00	75.00
chr21.9797182	chr21	9797182	F	22	54.55	45.45
chr21.9797133	chr21	9797133	R	16	43.75	56.25
chr21.9797132	chr21	9797132	F	15	66.67	33.33
chr21.9797212	chr21	9797212	F	15	13.33	86.67
chr21.9798664	chr21	9798664	F	10	100.00	0.00
chr21.9802590	chr21	9802590	F	19	73.68	26.32
chr21.9802574	chr21	9802574	F	18	72.22	27.78
chr21.9802620	chr21	9802620	F	14	64.29	35.71
chr21.9804873	chr21	9804873	F	11	100.00	0.00
chr21.9804899	chr21	9804899	F	11	27.27	72.73
chr21.9804890	chr21	9804890	F	11	27.27	72.73
chr21.9808158	chr21	9808158	F	14	57.14	42.86
chr21.9808138	chr21	9808138	F	14	42.86	57.14
chr21.9808438	chr21	9808438	F	12	0.00	100.00
chr21.9809998	chr21	9809998	F	204	82.84	17.16
chr21.9817117	chr21	9817117	F	20	0.00	100.00
chr21.9817099	chr21	9817099	F	20	100.00	0.00
chr21.9820652	chr21	9820652	F	414	41.30	58.70
chr21.9820622	chr21	9820622	F	431	3.02	96.98
chr21.9826907	chr21	9826907	F	49	6.12	93.88
chr21.9829072	chr21	9829072	R	11	90.91	0.00
chr21.9829082	chr21	9829082	R	10	100.00	0.00
chr21.9829550	chr21	9829550	F	11	9.09	90.91
chr21.9831075	chr21	9831075	F	15	20.00	80.00
chr21.9840137	chr21	9840137	F	12	66.67	33.33
chr21.9839701	chr21	9839701	F	13	46.15	53.85
chr21.9841811	chr21	9841811	F	14	92.86	7.14
chr21.9841786	chr21	9841786	F	13	100.00	0.00
chr21.9842905	chr21	9842905	F	12	91.67	8.33
chr21.9845819	chr21	9845819	F	11	9.09	90.91
chr21.9847953	chr21	9847953	F	14	100.00	0.00
chr21.9849022	chr21	9849022	F	392	82.65	17.35
chr21.9850215	chr21	9850215	R	16	87.50	12.50
chr21.9850185	chr21	9850185	R	15	73.33	26.67
chr21.9849392	chr21	9849392	F	10	50.00	50.00
chr21.9849386	chr21	9849386	F	10	50.00	50.00
chr21.9853030	chr21	9853030	F	10	90.00	10.00
chr21.9853296	chr21	9853296	F	395	86.33	13.67
chr21.9853326	chr21	9853326	F	379	74.93	25.07
chr21.9854818	chr21	9854818	F	11	81.82	18.18
chr21.9860126	chr21	9860126	F	41	97.56	2.44
chr21.9863481	chr21	9863481	F	25	76.00	24.00
chr21.9865113	chr21	9865113	F	12	50.00	50.00
chr21.9874437	chr21	9874437	F	75	97.33	2.67
chr21.9875688	chr21	9875688	F	12	75.00	25.00
chr21.9880285	chr21	9880285	F	13	46.15	53.85
chr21.9884536	chr21	9884536	F	11	100.00	0.00
chr21.9906700	chr21	9906700	F	23	43.48	56.52
chr21.9906644	chr21	9906644	F	34	85.29	14.71
chr21.9906873	chr21	9906873	F	22	31.82	68.18
chr21.9906926	chr21	9906926	R	11	45.45	54.55
chr21.9906619	chr21	9906619	F	37	78.38	21.62
chr21.9906910	chr21	9906910	R	11	45.45	54.55
chr21.9906847	chr21	9906847	R	15	86.67	13.33
chr21.9906839	chr21	9906839	R	15	53.33	46.67
chr21.9906846	chr21	9906846	F	22	90.91	9.09
chr21.9906928	chr21	9906928	R	11	63.64	36.36
chr21.9906890	chr21	9906890	R	11	9.09	90.91
chr21.9906841	chr21	9906841	R	15	100.00	0.00
